Time,X,Y
3.175000000000000000e+01,3.466390075683593750e+02,2.926178283691406250e+02
3.179166666666666785e+01,3.455626831054687500e+02,2.930678405761718750e+02
3.183333333333333570e+01,3.364888000488281250e+02,2.919515991210937500e+02
3.187500000000000000e+01,3.293637084960937500e+02,2.990487976074218750e+02
3.191666666666666785e+01,3.286422119140625000e+02,2.992029418945312500e+02
3.195833333333333570e+01,3.781005249023437500e+02,1.079270019531250000e+03
3.200000000000000000e+01,2.805682678222656250e+02,3.043391723632812500e+02
3.204166666666667140e+01,2.808019104003906250e+02,3.047921447753906250e+02
3.208333333333333570e+01,2.812654418945312500e+02,3.052604370117187500e+02
3.212500000000000000e+01,3.290030822753906250e+02,2.177058105468750000e+02
3.216666666666667140e+01,3.305227050781250000e+02,2.997011718750000000e+02
3.220833333333333570e+01,3.373701782226562500e+02,2.982300415039062500e+02
3.225000000000000000e+01,3.374807739257812500e+02,2.937057189941406250e+02
3.229166666666667140e+01,3.456719360351562500e+02,2.946115722656250000e+02
3.233333333333333570e+01,3.473875122070312500e+02,3.266261596679687500e+02
3.237500000000000000e+01,3.382388000488281250e+02,3.000036621093750000e+02
3.241666666666667140e+01,3.486258850097656250e+02,3.265763854980468750e+02
3.245833333333333570e+01,3.464990844726562500e+02,2.982405395507812500e+02
3.250000000000000000e+01,3.386851806640625000e+02,2.943417053222656250e+02
3.254166666666667140e+01,3.383502807617187500e+02,2.937281494140625000e+02
3.258333333333333570e+01,3.384892578125000000e+02,3.005335388183593750e+02
3.262500000000000000e+01,3.384167175292968750e+02,3.000238037109375000e+02
3.266666666666667140e+01,2.814346923828125000e+02,3.067927856445312500e+02
3.270833333333333570e+01,2.785009460449218750e+02,3.067054748535156250e+02
3.275000000000000000e+01,2.761733398437500000e+02,3.055186767578125000e+02
3.279166666666667140e+01,2.821979675292968750e+02,3.001803283691406250e+02
3.283333333333333570e+01,2.780176696777343750e+02,3.055238952636718750e+02
3.287500000000000000e+01,2.786551818847656250e+02,3.056923828125000000e+02
3.291666666666667140e+01,3.257245178222656250e+02,9.733621826171875000e+02
3.295833333333333570e+01,3.388709716796875000e+02,3.014077148437500000e+02
3.300000000000000000e+01,3.396489257812500000e+02,2.995574645996093750e+02
3.304166666666667140e+01,3.395551452636718750e+02,3.016186828613281250e+02
3.308333333333333570e+01,3.388975219726562500e+02,2.982828674316406250e+02
3.312500000000000000e+01,3.506582641601562500e+02,3.236699218750000000e+02
